ProbeID,Lower_bound,Upper_bound,Phase_class,P_value
1415953_s_at,16,16,4,0.374
1415954_at,8,12,20,0.025
1415955_x_at,16,16,4,0.117
1415956_a_at,4,4,1,0.355
1415957_a_at,4,4,1,0.598
1415958_at,16,20,20,0.558
1415959_at,4,4,1,0.212
1415960_at,0,16,20,0.97
1415961_at,4,4,1,0.171
1415962_at,12,12,3,0.454
1415963_at,12,16,20,0.482
1415964_at,4,4,1,0.673
1415965_at,0,4,20,0.285
1415966_a_at,16,16,4,0.241
1415967_at,12,16,20,0.351
1415968_a_at,16,20,20,0.029
1415969_s_at,20,20,5,0.217
1415970_at,8,8,2,0.199
1415971_at,0,20,20,0.394
1415972_at,0,4,20,0.235
1415973_at,0,4,20,0.342
1415974_at,12,16,20,0.245
1415975_at,4,8,20,0.35
1415976_a_at,4,8,20,0.295
1415977_at,16,16,4,0.338
1415978_at,16,16,4,0.6
1415979_x_at,16,20,20,0.509
1415980_at,12,12,3,0.274
1415981_at,12,12,3,0.191
1415982_at,12,16,20,0.35
1415983_at,8,8,2,0.024
1415984_at,8,8,2,0.174
1415985_at,4,4,1,0.246
1415986_at,8,8,2,0.103
1415987_at,12,16,20,0.677
1415988_at,16,20,20,0.454
1415989_at,12,16,20,0.156
1415990_at,8,12,20,0.03
1415991_a_at,8,8,2,0.656
1415992_at,4,4,1,0.413
1415993_at,16,20,20,0.233
1415994_at,12,12,3,0.43
1415995_at,4,4,1,0.025
1415996_at,8,8,2,0.092
1415997_at,4,4,1,0.237
1415998_at,12,12,3,0.102
1415999_at,12,20,20,0.535
1416000_a_at,8,8,2,0.567
1416001_a_at,12,12,3,0.459
1416002_x_at,12,12,3,0.389
1416003_at,8,12,20,0.382
1416004_at,16,16,4,0.09
1416005_at,0,0,0,0.235
1416006_at,16,16,4,0.661
1416007_at,0,20,20,0.747
1416008_at,12,12,3,0.42
1416009_at,16,20,20,0.597
1416010_a_at,20,20,5,0.265
1416011_x_at,20,20,5,0.332
1416012_at,0,0,0,0.04
1416013_at,0,20,20,0.161
1416014_at,8,8,2,0.267
1416015_s_at,16,16,4,0.512
1416016_at,0,20,20,0.561
1416017_at,16,16,4,0.313
1416018_at,12,16,20,0.374
1416019_at,0,0,0,0.394
1416020_a_at,12,12,3,0.848
1416021_a_at,4,4,1,0.005
1416022_at,4,4,1,0.033
1416023_at,4,4,1,0.207
1416024_x_at,16,20,20,0.217
1416025_at,0,4,20,0.079
1416026_a_at,8,12,20,0.2
1416027_at,8,8,2,0.494
1416028_a_at,8,20,20,0.673
1416029_at,8,8,2,0.385
1416030_a_at,20,20,5,0.65
1416031_s_at,16,20,20,0.094
1416032_at,16,20,20,0.101
1416033_at,12,16,20,0.591
1416034_at,4,4,1,0.687
1416035_at,0,4,20,0.075
1416036_at,20,20,5,0.332
1416037_a_at,12,12,3,0.494
1416038_at,12,16,20,0.424
1416039_x_at,4,4,1,0.353
1416040_at,4,8,20,0.225
1416041_at,20,20,5,0.303
1416042_s_at,8,12,20,0.386
1416043_at,0,0,0,0.238
1416044_at,4,8,20,0.437
1416045_a_at,0,20,20,0.829
1416046_a_at,4,4,1,0.857
1416047_at,0,0,0,0.176
1416048_at,16,16,4,0.279
1416049_at,0,20,20,0.276
1416050_a_at,4,4,1,0.331
1416051_at,12,16,20,0.033
1416052_at,16,16,4,0.315
1416053_at,0,0,0,0.1
1416054_at,12,16,20,0.111
1416055_at,8,12,20,0.158
1416056_a_at,12,16,20,0.39
1416057_at,8,12,20,0.197
1416058_s_at,12,16,20,0.493
1416059_at,12,12,3,0.277
1416060_at,4,4,1,0.178
1416061_at,8,8,2,0.035
1416062_at,4,8,20,0.194
1416063_x_at,12,16,20,0.546
1416064_a_at,16,16,4,0.239
1416065_a_at,16,16,4,0.154
1416066_at,0,4,20,0.235
1416067_at,8,8,2,0.093
1416068_at,8,8,2,0.342
1416069_at,16,20,20,0.381
1416070_a_at,0,20,20,0.135
1416071_at,0,4,20,0.634
1416072_at,12,12,3,0.507
1416073_a_at,12,12,3,0.562
1416074_a_at,12,16,20,0.168
1416075_at,12,12,3,0.09
1416076_at,0,4,20,0.033
1416077_at,16,16,4,0.549
1416078_s_at,0,20,20,0.252
1416079_a_at,12,12,3,0.476
1416080_at,0,20,20,0.473
1416081_at,0,20,20,0.669
1416082_at,12,16,20,0.378
1416083_at,0,0,0,0.362
1416084_at,12,16,20,0.574
1416085_s_at,0,4,20,0.113
1416086_at,16,20,20,0.034
1416087_at,12,12,3,0.801
1416088_a_at,16,16,4,0.191
1416089_at,12,12,3,0.387
1416090_at,8,12,20,0.039
1416091_at,20,20,5,0.378
1416092_a_at,4,8,20,0.109
1416093_a_at,12,16,20,0.158
1416094_at,12,12,3,0.497
1416095_x_at,20,20,5,0.185
1416096_at,16,20,20,0.77
1416097_at,8,16,20,0.683
1416098_at,16,20,20,0.509
1416099_at,16,16,4,0.498
1416100_at,0,4,20,0.51
1416101_a_at,20,20,5,0.023
1416102_at,20,20,5,0.11
1416103_at,16,20,20,0.578
1416104_at,8,12,20,0.685
1416105_at,16,16,4,0.682
1416106_at,12,12,3,0.132
1416107_at,16,16,4,0.264
1416108_a_at,12,12,3,0.303
1416109_at,20,20,5,0.138
1416110_at,8,8,2,0.377
1416111_at,16,16,4,0.373
1416112_at,0,4,20,0.552
1416113_at,16,16,4,0.352
1416114_at,0,20,20,0.642
1416115_at,4,4,1,0.044
1416116_at,0,20,20,0.278
1416117_at,0,4,20,0.547
1416118_at,0,4,20,0.409
1416119_at,4,8,20,0.216
1416120_at,8,12,20,0.106
1416121_at,8,12,20,0.454
1416122_at,0,0,0,0.254
1416123_at,12,16,20,0.416
1416124_at,8,12,20,0.464
1416125_at,12,12,3,0.086
1416126_at,0,20,20,0.499
1416127_a_at,16,20,20,0.472
1416128_at,0,4,20,0.466
1416129_at,12,12,3,0.024
1416130_at,12,16,20,0.445
1416131_s_at,0,4,20,0.177
1416132_at,0,20,20,0.509
1416133_at,4,8,20,0.605
1416134_at,12,12,3,0.384
1416135_at,4,4,1,0.637
1416136_at,12,16,20,0.445
1416137_at,12,12,3,0.135
1416138_at,12,12,3,0.18
1416139_at,16,16,4,0.089
1416140_a_at,12,12,3,0.192
1416141_a_at,12,12,3,0.431
1416142_at,16,20,20,0.441
1416143_at,8,12,20,0.126
1416144_a_at,16,16,4,0.481
1416145_at,8,8,2,0.123
1416146_at,8,8,2,0.401
1416147_at,12,12,3,0.142
1416148_at,0,0,0,0.48
1416149_at,12,12,3,0.235
1416150_a_at,0,20,20,0.062
1416151_at,20,20,5,0.438
1416152_a_at,0,0,0,0.524
1416153_at,8,12,20,0.169
1416154_at,8,12,20,0.579
1416155_at,4,4,1,0.041
1416156_at,20,20,5,0.232
1416157_at,0,0,0,0.499
1416158_at,8,8,2,0.493
1416159_at,4,4,1,0.54
1416160_at,4,4,1,0.225
1416161_at,16,20,20,0.625
1416162_at,8,8,2,0.364
1416163_at,4,4,1,0.132
1416164_at,8,12,20,0.246
1416165_at,12,12,3,0.394
1416166_a_at,16,20,20,0.257
1416167_at,8,16,20,0.665
1416168_at,16,20,20,0.525
1416169_at,0,4,20,0.183
1416170_at,12,12,3,0.135
1416171_at,8,8,2,0.335
1416172_at,8,8,2,0.213
1416173_at,16,20,20,0.192
1416174_at,0,0,0,0.505
1416175_a_at,4,4,1,0.378
1416176_at,4,8,20,0.543
1416177_at,0,20,20,0.357
1416178_a_at,16,20,20,0.567
1416179_a_at,20,20,5,0.106
1416180_a_at,4,4,1,0.243
1416181_at,16,16,4,0.313
1416182_at,16,16,4,0.362
1416183_a_at,16,16,4,0.31
1416184_s_at,4,8,20,0.329
1416185_a_at,8,8,2,0.441
1416186_at,20,20,5,0.359
1416187_s_at,20,20,5,0.077
1416188_at,16,16,4,0.442
1416189_a_at,16,16,4,0.398
1416190_a_at,16,16,4,0.136
1416191_at,16,16,4,0.061
1416192_at,0,20,20,0.736
1416193_at,8,8,2,0.256
1416194_at,16,16,4,0.285
1416195_at,0,4,20,0.058
1416196_at,0,20,20,0.449
1416197_at,4,4,1,0.051
1416198_at,4,4,1,0.138
1416199_at,16,16,4,0.206
1416200_at,0,0,0,0.245
1416201_at,8,12,20,0.059
1416202_at,8,8,2,0.02
1416203_at,4,8,20,0.646
1416204_at,4,4,1,0.258
