ProbeID,Lower_Bound,Upper_Bound,Phase_class,P_value
1448974_at,0,0,0,0.287
1449125_at,0,0,0,0.104
1449203_at,0,0,0,0.358
1449246_at,0,0,0,0.207
1449268_at,0,0,0,0.522
1449271_a_at,0,0,0,0.199
1449280_at,0,0,0,0.266
1449284_at,0,0,0,0.177
1449289_a_at,0,0,0,0.133
1449306_at,0,0,0,0.462
1449434_at,0,0,0,0.588
1449450_at,0,0,0,0.287
1449467_at,0,0,0,0.619
1449514_at,0,0,0,0.094
1449519_at,0,0,0,0.893
1449549_at,0,0,0,0.309
1449568_at,0,0,0,0.222
1449586_at,0,0,0,0.556
1449596_at,0,0,0,0.468
1449603_at,0,0,0,0.069
1449615_s_at,0,0,0,0.377
1449652_at,0,0,0,0.526
1449676_at,0,0,0,0.207
1449686_s_at,0,0,0,0.263
1449700_at,0,0,0,0.857
1449716_s_at,0,0,0,0.217
1449742_at,0,0,0,0.679
1449799_s_at,0,0,0,0.708
1449831_at,0,0,0,0.242
1449839_at,0,0,0,0.458
1449866_at,0,0,0,0.052
1449870_a_at,0,0,0,0.16
1449882_a_at,0,0,0,0.414
1449893_a_at,0,0,0,0.329
1449914_at,0,0,0,0.404
1449929_at,0,0,0,0.304
1449976_a_at,0,0,0,0.162
1449981_a_at,0,0,0,0.145
1449989_at,0,0,0,0.495
1449994_at,0,0,0,0.273
1450026_a_at,0,0,0,0.089
1450088_a_at,0,0,0,0.371
1450096_at,0,0,0,0.528
1450144_at,0,0,0,0.351
1450177_at,0,0,0,0.07
1450190_at,0,0,0,0.487
1450203_at,0,0,0,0.167
1450224_at,0,0,0,0.69
1450237_at,0,0,0,0.334
1450243_a_at,0,0,0,0.203
1450257_at,0,0,0,0.386
1450284_at,0,0,0,0.065
1450288_at,0,0,0,0.236
1450293_at,0,0,0,0.318
1450341_at,0,0,0,0.201
1450373_at,0,0,0,0.304
1450381_a_at,0,0,0,0.439
1450401_at,0,0,0,0.061
1450402_at,0,0,0,0.437
1450454_at,0,0,0,0.346
1450464_at,0,0,0,0.553
1450484_a_at,0,0,0,0.251
1450509_at,0,0,0,0.781
1450515_at,0,0,0,0.513
1450526_at,0,0,0,0.524
1450532_at,0,0,0,0.017
1450546_at,0,0,0,0.196
1450585_at,0,0,0,0.915
1450641_at,0,0,0,0.215
1450659_at,0,0,0,0.675
1450674_at,0,0,0,0.078
1450679_at,0,0,0,0.727
1450702_at,0,0,0,0.603
1450750_a_at,0,0,0,0.035
1450763_x_at,0,0,0,0.054
1450779_at,0,0,0,0.431
1450790_at,0,0,0,0.165
1450806_at,0,0,0,0.931
1450877_at,0,0,0,0.171
1450884_at,0,0,0,0.681
1450921_at,0,0,0,0.538
1450949_at,0,0,0,0.681
1450967_at,0,0,0,0.072
1450989_at,0,0,0,0.224
1450998_at,0,0,0,0.899
1451184_at,0,0,0,0.063
1451186_at,0,0,0,0.523
1451228_a_at,0,0,0,0.527
1451238_at,0,0,0,0.186
1451240_a_at,0,0,0,0.62
1451244_a_at,0,0,0,0.364
1451245_at,0,0,0,0.353
1451264_at,0,0,0,0.429
1451281_at,0,0,0,0.547
1451289_at,0,0,0,0.729
1451295_a_at,0,0,0,0.85
1451310_a_at,0,0,0,0.389
1451319_at,0,0,0,0.378
1451410_a_at,0,0,0,0.236
1451442_at,0,0,0,0.335
1451444_s_at,0,0,0,0.08
1451539_at,0,0,0,0.385
1451603_at,0,0,0,0.162
1451629_at,0,0,0,0.342
1451632_a_at,0,0,0,0.363
1451637_a_at,0,0,0,0.151
1451647_at,0,0,0,0.481
1451657_a_at,0,0,0,0.423
1451671_at,0,0,0,0.082
1451682_at,0,0,0,0.852
1451777_at,0,0,0,0.116
1451790_a_at,0,0,0,0.361
1451809_s_at,0,0,0,0.423
1451815_at,0,0,0,0.229
1451830_a_at,0,0,0,0.356
1451866_a_at,0,0,0,0.282
1451872_a_at,0,0,0,0.293
1451899_a_at,0,0,0,0.148
1451922_at,0,0,0,0.45
1451933_a_at,0,0,0,0.071
1451964_at,0,2,0,0.768
1451972_at,0,0,0,0.651
1452041_at,0,0,0,0.061
1452059_at,0,0,0,0.48
1452089_at,0,0,0,0.24
1452102_at,0,0,0,0.609
1452151_at,0,0,0,0.455
1452160_at,0,0,0,0.244
1452199_at,0,0,0,0.519
1452223_s_at,0,0,0,0.113
1452240_at,0,0,0,0.761
1452243_at,0,0,0,0.06
1452245_at,0,0,0,0.437
1452324_at,0,0,0,0.513
1452340_at,0,0,0,0.624
1452362_at,0,0,0,0.608
1452383_at,0,0,0,0.777
1452386_at,0,0,0,0.197
1452428_a_at,0,0,0,0.216
1452432_at,0,0,0,0.126
1452441_at,0,0,0,0.465
1452501_at,0,0,0,0.218
1452534_a_at,0,0,0,0.216
1452544_x_at,0,0,0,0.622
1452555_at,0,0,0,0.299
1452582_at,0,0,0,0.782
1452595_at,0,0,0,0.066
1452614_at,0,0,0,0.295
1452648_at,0,0,0,0.307
1452651_a_at,0,0,0,0.352
1452712_at,0,0,0,0.096
1452736_at,0,0,0,0.49
1452801_at,0,0,0,0.502
1452823_at,0,0,0,0.008
1452927_x_at,0,0,0,0.194
